date,hospital_branch,weekday,total_beds,icu_beds,occupied_beds,occupied_icu_beds,available_beds,admissions,discharges,emergency_cases,staff_available,occupancy_rate,icu_utilization,occupancy_lag_1,occupancy_lag_7,rolling_avg_7,hospital_branch_encoded,target_occupancy,patient_flow
2018-02-15,Metro Hospital,Saturday,175,31,175,23,0,56,31,24,55,100.0,74.19354838709677,85.71428571428571,100.0,97.38775510204081,0,100.0,25
2018-02-16,Metro Hospital,Sunday,175,31,175,21,0,70,29,16,112,100.0,67.74193548387096,100.0,100.0,97.38775510204081,0,100.0,41
2018-02-17,Metro Hospital,Monday,175,31,175,21,0,50,24,13,65,100.0,67.74193548387096,100.0,100.0,97.38775510204081,0,100.0,26
2018-02-18,Metro Hospital,Tuesday,175,31,175,21,0,66,36,16,50,100.0,67.74193548387096,100.0,96.0,97.95918367346938,0,100.0,30
2018-02-19,Metro Hospital,Wednesday,175,31,175,21,0,49,17,21,97,100.0,67.74193548387096,100.0,100.0,97.95918367346938,0,100.0,32
2018-02-20,Metro Hospital,Thursday,175,31,175,24,0,32,22,31,69,100.0,77.41935483870968,100.0,100.0,97.95918367346938,0,100.0,10
2018-02-21,Metro Hospital,Friday,175,31,175,24,0,66,32,11,58,100.0,77.41935483870968,100.0,85.71428571428571,100.0,0,100.0,34
2018-02-22,Metro Hospital,Saturday,175,31,175,28,0,36,33,27,50,100.0,90.32258064516128,100.0,100.0,100.0,0,100.0,3
2018-02-23,Metro Hospital,Sunday,175,31,175,24,0,52,27,27,117,100.0,77.41935483870968,100.0,100.0,100.0,0,100.0,25
2018-02-24,Metro Hospital,Monday,175,31,175,26,0,37,16,15,87,100.0,83.87096774193549,100.0,100.0,100.0,0,95.42857142857143,21
2018-02-25,Metro Hospital,Tuesday,175,31,167,24,8,34,42,29,93,95.42857142857143,77.41935483870968,100.0,100.0,99.34693877551021,0,97.14285714285714,-8
2018-02-26,Metro Hospital,Wednesday,175,31,170,20,5,26,23,30,107,97.14285714285714,64.51612903225806,95.42857142857143,100.0,98.9387755102041,0,100.0,3
2018-02-27,Metro Hospital,Thursday,175,31,175,25,0,62,17,32,117,100.0,80.64516129032258,97.14285714285714,100.0,98.9387755102041,0,93.71428571428572,45
2018-02-28,Metro Hospital,Friday,175,31,164,25,11,42,53,19,91,93.71428571428572,80.64516129032258,100.0,100.0,98.04081632653062,0,84.0,-11
2018-03-01,Metro Hospital,Saturday,175,31,147,24,28,32,49,14,119,84.0,77.41935483870968,93.71428571428572,100.0,95.75510204081634,0,91.42857142857143,-17
2018-03-02,Metro Hospital,Sunday,175,31,160,22,15,42,29,14,69,91.42857142857143,70.96774193548387,84.0,100.0,94.53061224489797,0,100.0,13
2018-03-03,Metro Hospital,Monday,175,31,175,23,0,57,38,15,61,100.0,74.19354838709677,91.42857142857143,100.0,94.53061224489797,0,100.0,19
2018-03-04,Metro Hospital,Tuesday,175,31,175,21,0,36,34,12,113,100.0,67.74193548387096,100.0,95.42857142857143,95.18367346938776,0,100.0,2
2018-03-05,Metro Hospital,Wednesday,175,31,175,17,0,24,18,14,57,100.0,54.83870967741935,100.0,97.14285714285714,95.59183673469387,0,100.0,6
2018-03-06,Metro Hospital,Thursday,175,31,175,13,0,59,25,18,54,100.0,41.935483870967744,100.0,100.0,95.59183673469387,0,100.0,34
2018-03-07,Metro Hospital,Friday,175,31,175,9,0,43,35,26,99,100.0,29.03225806451613,100.0,93.71428571428572,96.48979591836735,0,98.28571428571429,8
2018-03-08,Metro Hospital,Saturday,175,31,172,7,3,42,45,28,114,98.28571428571429,22.58064516129032,100.0,84.0,98.53061224489797,0,98.28571428571429,-3
2018-03-09,Metro Hospital,Sunday,175,31,172,3,3,35,35,27,60,98.28571428571429,9.67741935483871,98.28571428571429,91.42857142857143,99.51020408163265,0,100.0,0
2018-03-10,Metro Hospital,Monday,175,31,175,8,0,54,50,33,78,100.0,25.806451612903224,98.28571428571429,100.0,99.51020408163265,0,93.14285714285714,4
2018-03-11,Metro Hospital,Tuesday,175,31,163,10,12,41,53,23,110,93.14285714285714,32.25806451612903,100.0,100.0,98.53061224489795,0,100.0,-12
2018-03-12,Metro Hospital,Wednesday,175,31,175,11,0,48,26,34,61,100.0,35.483870967741936,93.14285714285714,100.0,98.53061224489795,0,98.28571428571429,22
2018-03-13,Metro Hospital,Thursday,175,31,172,15,3,48,51,12,104,98.28571428571429,48.38709677419355,100.0,100.0,98.28571428571429,0,100.0,-3
2018-03-14,Metro Hospital,Friday,175,31,175,16,0,46,32,26,106,100.0,51.61290322580645,98.28571428571429,100.0,98.28571428571429,0,91.42857142857143,14
2018-03-15,Metro Hospital,Saturday,175,31,160,16,15,23,38,24,78,91.42857142857143,51.61290322580645,100.0,98.28571428571429,97.30612244897961,0,100.0,-15
2018-03-16,Metro Hospital,Sunday,175,31,175,17,0,41,15,17,93,100.0,54.83870967741935,91.42857142857143,98.28571428571429,97.55102040816327,0,91.42857142857143,26
2018-03-17,Metro Hospital,Monday,175,31,160,19,15,21,36,30,71,91.42857142857143,61.29032258064516,100.0,100.0,96.32653061224491,0,100.0,-15
2018-03-18,Metro Hospital,Tuesday,175,31,175,21,0,57,40,14,79,100.0,67.74193548387096,91.42857142857143,93.14285714285714,97.30612244897961,0,96.0,17
2018-03-19,Metro Hospital,Wednesday,175,31,168,18,7,42,49,20,85,96.0,58.06451612903226,100.0,100.0,96.73469387755104,0,100.0,-7
2018-03-20,Metro Hospital,Thursday,175,31,175,14,0,59,31,14,73,100.0,45.16129032258064,96.0,98.28571428571429,96.9795918367347,0,100.0,28
2018-03-21,Metro Hospital,Friday,175,31,175,12,0,29,21,27,52,100.0,38.70967741935484,100.0,100.0,96.9795918367347,0,94.28571428571428,8
2018-03-22,Metro Hospital,Saturday,175,31,165,15,10,33,43,19,76,94.28571428571428,48.38709677419355,100.0,91.42857142857143,97.38775510204081,0,95.42857142857143,-10
2018-03-23,Metro Hospital,Sunday,175,31,167,20,8,40,38,33,78,95.42857142857143,64.51612903225806,94.28571428571428,100.0,96.73469387755101,0,100.0,2
2018-03-24,Metro Hospital,Monday,175,31,175,23,0,53,15,11,74,100.0,74.19354838709677,95.42857142857143,91.42857142857143,97.95918367346938,0,100.0,38
2018-03-25,Metro Hospital,Tuesday,175,31,175,22,0,42,16,30,96,100.0,70.96774193548387,100.0,100.0,97.95918367346938,0,98.28571428571429,26
2018-03-26,Metro Hospital,Wednesday,175,31,172,25,3,34,37,30,111,98.28571428571429,80.64516129032258,100.0,96.0,98.28571428571429,0,100.0,-3
2018-03-27,Metro Hospital,Thursday,175,31,175,29,0,50,27,24,109,100.0,93.54838709677419,98.28571428571429,100.0,98.28571428571429,0,100.0,23
2018-03-28,Metro Hospital,Friday,175,31,175,30,0,47,17,28,68,100.0,96.7741935483871,100.0,100.0,98.28571428571429,0,100.0,30
2018-03-29,Metro Hospital,Saturday,175,31,175,29,0,37,19,21,108,100.0,93.54838709677419,100.0,94.28571428571428,99.10204081632654,0,83.42857142857143,18
2018-03-30,Metro Hospital,Sunday,175,31,146,30,29,25,54,10,110,83.42857142857143,96.7741935483871,100.0,95.42857142857143,97.38775510204083,0,75.42857142857143,-29
2018-03-31,Metro Hospital,Monday,175,31,132,26,43,33,47,30,105,75.42857142857143,83.87096774193549,83.42857142857143,100.0,93.87755102040816,0,84.0,-14
2018-04-01,Metro Hospital,Tuesday,175,31,147,22,28,31,16,10,56,84.0,70.96774193548387,75.42857142857143,100.0,91.59183673469387,0,91.42857142857143,15
2018-04-02,Metro Hospital,Wednesday,175,31,160,25,15,58,45,14,80,91.42857142857143,80.64516129032258,84.0,98.28571428571429,90.61224489795917,0,93.71428571428572,13
2018-04-03,Metro Hospital,Thursday,175,31,164,25,11,46,42,12,71,93.71428571428572,80.64516129032258,91.42857142857143,100.0,89.71428571428571,0,94.28571428571428,4
2018-04-04,Metro Hospital,Friday,175,31,165,23,10,53,52,22,99,94.28571428571428,74.19354838709677,93.71428571428572,100.0,88.89795918367346,0,97.14285714285714,1
2018-04-05,Metro Hospital,Saturday,175,31,170,24,5,37,32,12,112,97.14285714285714,77.41935483870968,94.28571428571428,100.0,88.48979591836735,0,100.0,5
2018-04-06,Metro Hospital,Sunday,175,31,175,20,0,38,16,23,103,100.0,64.51612903225806,97.14285714285714,83.42857142857143,90.85714285714286,0,100.0,22
2018-04-07,Metro Hospital,Monday,175,31,175,21,0,27,19,22,50,100.0,67.74193548387096,100.0,75.42857142857143,94.36734693877553,0,100.0,8
2018-04-08,Metro Hospital,Tuesday,175,31,175,24,0,41,37,19,103,100.0,77.41935483870968,100.0,84.0,96.6530612244898,0,100.0,4
2018-04-09,Metro Hospital,Wednesday,175,31,175,28,0,30,23,21,89,100.0,90.32258064516128,100.0,91.42857142857143,97.87755102040818,0,97.71428571428571,7
2018-04-10,Metro Hospital,Thursday,175,31,171,24,4,27,31,16,57,97.71428571428571,77.41935483870968,100.0,93.71428571428572,98.44897959183673,0,100.0,-4
2018-04-11,Metro Hospital,Friday,175,31,175,25,0,59,19,12,79,100.0,80.64516129032258,97.71428571428571,94.28571428571428,99.26530612244899,0,100.0,40
2018-04-12,Metro Hospital,Saturday,175,31,175,26,0,44,15,31,54,100.0,83.87096774193549,100.0,97.14285714285714,99.67346938775509,0,100.0,29
2018-04-13,Metro Hospital,Sunday,175,31,175,25,0,47,25,10,75,100.0,80.64516129032258,100.0,100.0,99.67346938775509,0,93.14285714285714,22
2018-04-14,Metro Hospital,Monday,175,31,163,28,12,20,32,20,89,93.14285714285714,90.32258064516128,100.0,100.0,98.69387755102039,0,86.28571428571429,-12
2018-04-15,Metro Hospital,Tuesday,175,31,151,31,24,22,34,32,102,86.28571428571429,100.0,93.14285714285714,100.0,96.73469387755101,0,77.14285714285715,-12
2018-04-16,Metro Hospital,Wednesday,175,31,135,31,40,27,43,15,100,77.14285714285715,100.0,86.28571428571429,100.0,93.46938775510203,0,84.0,-16
2018-04-17,Metro Hospital,Thursday,175,31,147,30,28,52,40,19,108,84.0,96.7741935483871,77.14285714285715,97.71428571428571,91.51020408163265,0,98.28571428571429,12
2018-04-18,Metro Hospital,Friday,175,31,172,31,3,55,30,18,54,98.28571428571429,100.0,84.0,100.0,91.26530612244899,0,100.0,25
2018-04-19,Metro Hospital,Saturday,175,31,175,31,0,40,17,24,58,100.0,100.0,98.28571428571429,100.0,91.26530612244899,0,97.14285714285714,23
2018-04-20,Metro Hospital,Sunday,175,31,170,31,5,20,25,19,83,97.14285714285714,100.0,100.0,100.0,90.85714285714286,0,88.57142857142857,-5
2018-04-21,Metro Hospital,Monday,175,31,155,31,20,29,44,24,116,88.57142857142857,100.0,97.14285714285714,93.14285714285714,90.20408163265306,0,72.57142857142857,-15
2018-04-22,Metro Hospital,Tuesday,175,31,127,31,48,21,49,27,55,72.57142857142857,100.0,88.57142857142857,86.28571428571429,88.24489795918366,0,73.71428571428571,-28
2018-04-23,Metro Hospital,Wednesday,175,31,129,27,46,34,32,32,66,73.71428571428571,87.09677419354838,72.57142857142857,77.14285714285715,87.75510204081634,0,87.42857142857143,2
2018-04-24,Metro Hospital,Thursday,175,31,153,27,22,59,35,12,72,87.42857142857143,87.09677419354838,73.71428571428571,84.0,88.24489795918369,0,86.85714285714286,24
2018-04-25,Metro Hospital,Friday,175,31,152,29,23,53,54,29,99,86.85714285714286,93.54838709677419,87.42857142857143,98.28571428571429,86.61224489795917,0,80.57142857142857,-1
2018-04-26,Metro Hospital,Saturday,175,31,141,28,34,36,47,33,93,80.57142857142857,90.32258064516128,86.85714285714286,100.0,83.83673469387756,0,93.71428571428572,-11
2018-04-27,Metro Hospital,Sunday,175,31,164,29,11,38,15,22,95,93.71428571428572,93.54838709677419,80.57142857142857,97.14285714285714,83.34693877551021,0,100.0,23
2018-04-28,Metro Hospital,Monday,175,31,175,30,0,47,33,25,69,100.0,96.7741935483871,93.71428571428572,88.57142857142857,84.9795918367347,0,100.0,14
2018-04-29,Metro Hospital,Tuesday,175,31,175,31,0,45,15,34,82,100.0,100.0,100.0,72.57142857142857,88.89795918367348,0,89.71428571428571,30
2018-04-30,Metro Hospital,Wednesday,175,31,157,30,18,34,52,17,64,89.71428571428571,96.7741935483871,100.0,73.71428571428571,91.18367346938774,0,84.0,-18
2018-05-01,Metro Hospital,Thursday,175,31,147,28,28,22,32,34,51,84.0,90.32258064516128,89.71428571428571,87.42857142857143,90.69387755102039,0,98.85714285714286,-10
2018-05-02,Metro Hospital,Friday,175,31,173,28,2,50,24,33,118,98.85714285714286,90.32258064516128,84.0,86.85714285714286,92.40816326530613,0,82.28571428571428,26
2018-05-03,Metro Hospital,Saturday,175,31,144,24,31,25,54,23,115,82.28571428571428,77.41935483870968,98.85714285714286,80.57142857142857,92.65306122448979,0,86.28571428571429,-29
2018-05-04,Metro Hospital,Sunday,175,31,151,21,24,33,26,17,61,86.28571428571429,67.74193548387096,82.28571428571428,93.71428571428572,91.59183673469387,0,88.0,7
2018-05-05,Metro Hospital,Monday,175,31,154,23,21,44,41,30,82,88.0,74.19354838709677,86.28571428571429,100.0,89.87755102040816,0,96.57142857142857,3
2018-05-06,Metro Hospital,Tuesday,175,31,169,19,6,48,33,26,51,96.57142857142857,61.29032258064516,88.0,100.0,89.38775510204081,0,82.85714285714286,15
2018-05-07,Metro Hospital,Wednesday,175,31,145,16,30,22,46,17,81,82.85714285714286,51.61290322580645,96.57142857142857,89.71428571428571,88.40816326530613,0,77.71428571428571,-24
2018-05-08,Metro Hospital,Thursday,175,31,136,13,39,26,35,32,58,77.71428571428571,41.935483870967744,82.85714285714286,84.0,87.51020408163266,0,70.28571428571428,-9
2018-05-09,Metro Hospital,Friday,175,31,123,17,52,29,42,15,81,70.28571428571428,54.83870967741935,77.71428571428571,98.85714285714286,83.42857142857143,0,55.42857142857143,-13
2018-05-10,Metro Hospital,Saturday,175,31,97,13,78,20,46,33,57,55.42857142857143,41.935483870967744,70.28571428571428,82.28571428571428,79.59183673469387,0,69.71428571428572,-26
2018-05-11,Metro Hospital,Sunday,175,31,122,15,53,40,15,18,52,69.71428571428572,48.38709677419355,55.42857142857143,86.28571428571429,77.22448979591836,0,64.0,25
2018-05-12,Metro Hospital,Monday,175,31,112,15,63,33,43,14,112,64.0,48.38709677419355,69.71428571428572,88.0,73.79591836734694,0,76.57142857142857,-10
2018-05-13,Metro Hospital,Tuesday,175,31,134,11,41,59,37,28,64,76.57142857142857,35.483870967741936,64.0,96.57142857142857,70.93877551020408,0,79.42857142857143,22
2018-05-14,Metro Hospital,Wednesday,175,31,139,7,36,27,22,28,85,79.42857142857143,22.58064516129032,76.57142857142857,82.85714285714286,70.44897959183673,0,77.71428571428571,5
2018-05-15,Metro Hospital,Thursday,175,31,136,11,39,41,44,19,107,77.71428571428571,35.483870967741936,79.42857142857143,77.71428571428571,70.44897959183673,0,85.14285714285714,-3
2018-05-16,Metro Hospital,Friday,175,31,149,16,26,29,16,30,66,85.14285714285714,51.61290322580645,77.71428571428571,70.28571428571428,72.57142857142857,0,78.28571428571428,13
2018-05-17,Metro Hospital,Saturday,175,31,137,12,38,22,34,15,116,78.28571428571428,38.70967741935484,85.14285714285714,55.42857142857143,75.83673469387756,0,85.14285714285714,-12
2018-05-18,Metro Hospital,Sunday,175,31,149,8,26,58,46,21,113,85.14285714285714,25.806451612903224,78.28571428571428,69.71428571428572,78.0408163265306,0,80.57142857142857,12
2018-05-19,Metro Hospital,Monday,175,31,141,7,34,21,29,28,105,80.57142857142857,22.58064516129032,85.14285714285714,64.0,80.40816326530611,0,99.42857142857143,-8
2018-05-20,Metro Hospital,Tuesday,175,31,174,12,1,54,21,20,96,99.42857142857143,38.70967741935484,80.57142857142857,76.57142857142857,83.67346938775509,0,100.0,33
2018-05-21,Metro Hospital,Wednesday,175,31,175,16,0,34,22,20,95,100.0,51.61290322580645,99.42857142857143,79.42857142857143,86.61224489795917,0,93.14285714285714,12
2018-05-22,Metro Hospital,Thursday,175,31,163,15,12,28,40,19,107,93.14285714285714,48.38709677419355,100.0,77.71428571428571,88.81632653061226,0,82.85714285714286,-12
2018-05-23,Metro Hospital,Friday,175,31,145,12,30,30,48,20,98,82.85714285714286,38.70967741935484,93.14285714285714,85.14285714285714,88.48979591836735,0,77.14285714285715,-18
2018-05-24,Metro Hospital,Saturday,175,31,135,8,40,28,38,14,102,77.14285714285715,25.806451612903224,82.85714285714286,78.28571428571428,88.32653061224491,0,90.85714285714286,-10
2018-05-25,Metro Hospital,Sunday,175,31,159,10,16,51,27,22,117,90.85714285714286,32.25806451612903,77.14285714285715,85.14285714285714,89.14285714285714,0,81.14285714285714,24
2018-05-26,Metro Hospital,Monday,175,31,142,6,33,32,49,26,119,81.14285714285714,19.35483870967742,90.85714285714286,80.57142857142857,89.22448979591839,0,71.42857142857143,-17
2018-05-27,Metro Hospital,Tuesday,175,31,125,5,50,24,41,23,67,71.42857142857143,16.129032258064516,81.14285714285714,99.42857142857143,85.22448979591839,0,84.0,-17
2018-05-28,Metro Hospital,Wednesday,175,31,147,4,28,41,19,28,53,84.0,12.903225806451612,71.42857142857143,100.0,82.9387755102041,0,77.71428571428571,22
2018-05-29,Metro Hospital,Thursday,175,31,136,5,39,26,37,33,115,77.71428571428571,16.129032258064516,84.0,93.14285714285714,80.73469387755101,0,100.0,-11
2018-05-30,Metro Hospital,Friday,175,31,175,4,0,58,19,26,86,100.0,12.903225806451612,77.71428571428571,82.85714285714286,83.18367346938774,0,100.0,39
2018-05-31,Metro Hospital,Saturday,175,31,175,3,0,54,30,18,76,100.0,9.67741935483871,100.0,77.14285714285715,86.44897959183673,0,100.0,24
2018-06-01,Metro Hospital,Sunday,175,31,175,3,0,53,45,32,75,100.0,9.67741935483871,100.0,90.85714285714286,87.75510204081631,0,100.0,8
2018-06-02,Metro Hospital,Monday,175,31,175,8,0,42,22,34,111,100.0,25.806451612903224,100.0,81.14285714285714,90.44897959183673,0,100.0,20
2018-06-03,Metro Hospital,Tuesday,175,31,175,11,0,56,37,14,119,100.0,35.483870967741936,100.0,71.42857142857143,94.53061224489795,0,100.0,19
2018-06-04,Metro Hospital,Wednesday,175,31,175,9,0,35,31,23,71,100.0,29.03225806451613,100.0,84.0,96.81632653061224,0,100.0,4
2018-06-05,Metro Hospital,Thursday,175,31,175,6,0,49,19,24,71,100.0,19.35483870967742,100.0,77.71428571428571,100.0,0,100.0,30
2018-06-06,Metro Hospital,Friday,175,31,175,10,0,40,35,30,116,100.0,32.25806451612903,100.0,100.0,100.0,0,93.71428571428572,5
2018-06-07,Metro Hospital,Saturday,175,31,164,14,11,42,53,23,63,93.71428571428572,45.16129032258064,100.0,100.0,99.10204081632654,0,100.0,-11
2018-06-08,Metro Hospital,Sunday,175,31,175,18,0,36,21,28,88,100.0,58.06451612903226,93.71428571428572,100.0,99.10204081632654,0,100.0,15
2018-06-09,Metro Hospital,Monday,175,31,175,14,0,59,18,29,86,100.0,45.16129032258064,100.0,100.0,99.10204081632654,0,100.0,41
2018-06-10,Metro Hospital,Tuesday,175,31,175,12,0,30,23,23,90,100.0,38.70967741935484,100.0,100.0,99.10204081632654,0,100.0,7
2018-06-11,Metro Hospital,Wednesday,175,31,175,11,0,51,20,16,89,100.0,35.483870967741936,100.0,100.0,99.10204081632654,0,95.42857142857143,31
2018-06-12,Metro Hospital,Thursday,175,31,167,13,8,44,52,31,98,95.42857142857143,41.935483870967744,100.0,100.0,98.44897959183675,0,100.0,-8
2018-06-13,Metro Hospital,Friday,175,31,175,17,0,53,44,20,112,100.0,54.83870967741935,95.42857142857143,100.0,98.44897959183675,0,100.0,9
2018-06-14,Metro Hospital,Saturday,175,31,175,16,0,45,36,30,73,100.0,51.61290322580645,100.0,93.71428571428572,99.34693877551021,0,93.71428571428572,9
2018-06-15,Metro Hospital,Sunday,175,31,164,19,11,42,53,31,116,93.71428571428572,61.29032258064516,100.0,100.0,98.44897959183673,0,82.85714285714286,-11
2018-06-16,Metro Hospital,Monday,175,31,145,15,30,31,50,24,68,82.85714285714286,48.38709677419355,93.71428571428572,100.0,96.0,0,89.14285714285714,-19
2018-06-17,Metro Hospital,Tuesday,175,31,156,20,19,56,45,25,65,89.14285714285714,64.51612903225806,82.85714285714286,100.0,94.44897959183673,0,82.85714285714286,11
2018-06-18,Metro Hospital,Wednesday,175,31,145,19,30,36,47,22,61,82.85714285714286,61.29032258064516,89.14285714285714,100.0,92.0,0,82.85714285714286,-11
2018-06-19,Metro Hospital,Thursday,175,31,145,19,30,36,36,34,84,82.85714285714286,61.29032258064516,82.85714285714286,95.42857142857143,90.20408163265306,0,91.42857142857143,0
2018-06-20,Metro Hospital,Friday,175,31,160,21,15,47,32,17,72,91.42857142857143,67.74193548387096,82.85714285714286,100.0,88.9795918367347,0,100.0,15
2018-06-21,Metro Hospital,Saturday,175,31,175,26,0,47,18,23,64,100.0,83.87096774193549,91.42857142857143,100.0,88.9795918367347,0,100.0,29
2018-06-22,Metro Hospital,Sunday,175,31,175,30,0,58,35,17,70,100.0,96.7741935483871,100.0,93.71428571428572,89.87755102040818,0,100.0,23
2018-06-23,Metro Hospital,Monday,175,31,175,31,0,52,40,13,55,100.0,100.0,100.0,82.85714285714286,92.32653061224491,0,90.85714285714286,12
2018-06-24,Metro Hospital,Tuesday,175,31,159,31,16,28,44,23,98,90.85714285714286,100.0,100.0,89.14285714285714,92.57142857142857,0,98.85714285714286,-16
2018-06-25,Metro Hospital,Wednesday,175,31,173,31,2,58,44,11,62,98.85714285714286,100.0,90.85714285714286,82.85714285714286,94.85714285714286,0,100.0,14
2018-06-26,Metro Hospital,Thursday,175,31,175,28,0,31,16,31,91,100.0,90.32258064516128,98.85714285714286,82.85714285714286,97.3061224489796,0,95.42857142857143,15
